Nome,Zona,Indirizzo,Telefono,Fatturato,Sito web,Google Maps,Stato contatto,N° tentativi,Parlato con,Esito chiamata,Data follow-up,Data demo fissata,Qualificazione ,"Note (obiezioni, dettagli, info)"
COOPERATIVA SCARICATORI FIORENTINI,Firenze,"Via Carlo Goldoni, 20","055 8825499
055 8879492",,https://www.traslochiscaricatorifiorentini.com/,,Da chiamare,,,,,,,
FIORENTINA TRASLOCHI,Firenze,"Via Filippo Brunelleschi, 2/A","055 892136
335 293010",,https://www.fiorentinatraslochi.it/,,Da chiamare,,,,,,,
AUTOTRASPORTI E TRASLOCHI GAGLIARDI SNC,Firenze,"Borgo Pinti, 52",055 241325,,http://www.traslochigagliardi.com/,https://www.google.com/maps/search/?api=1&query=Autotrasporti%20e%20Traslochi%20Gagliardi%20Snc&query_place_id=ChIJ32Y1gQVUKhMRw3HuYE7n7Sk,Da chiamare,,,,,,,
TRASLOCHI FIRENZE MILIANI,Firenze,"Via Pietro Maroncelli, 17",335 801 6035,,http://www.traslochifirenze.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Firenze%20Miliani&query_place_id=ChIJ5eFQuSxXKhMR314MRs0TqOc,Da chiamare,,,,,,,
TRASLOCHI PRONESTI,Firenze,"Via Siena, 37",335 704 9133,,https://www.traslochipronesti.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Pronesti&query_place_id=ChIJUYrEeAxRKhMRFTBB8Cdxqa8,Da chiamare,,,,,,,
TRASLOCHI URGENTE FIRENZE COMETA SRLS,Firenze,"Via Antonio D'Orso, 2",328 892 9828,,https://www.traslochicometafirenze.it/,https://www.google.com/maps/search/?api=1&query=TRASLOCHI%20URGENTE%20FIRENZE%20cometa%20srls&query_place_id=ChIJRRmwaMNVKhMR_2078wTiT_A,Da chiamare,,,,,,,
EUROTRASLOCHI EXPRESS FIRENZE,Firenze,"Via del Campo di Marte, 3r",329 266 6162,,https://www.eurotraslochiexpress.it/,https://www.google.com/maps/search/?api=1&query=Eurotraslochi%20Express%20Firenze&query_place_id=ChIJxThW6lNVKhMRHv-7ffxA-Zs,Da chiamare,,,,,,,
TRASLOCHI NOVOLI FIRENZE,Firenze,"Viale Antonio Gramsci, 18",055 031 7846,,http://traslochinovoli.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Novoli%20Firenze&query_place_id=ChIJ44dVTgxUKhMREydLZX6sN_o,Da chiamare,,,,,,,
PALOKA TRASLOCHI,Firenze,"Via Neri di Bicci, 22",324 691 9399,,https://www.palokatraslochi.it/,https://www.google.com/maps/search/?api=1&query=Paloka%20Traslochi&query_place_id=ChIJ9d2HPwFRKhMRFhOW-0nfOQ8,Da chiamare,,,,,,,
ZEUS TRASLOCHI,Firenze,"Via Enrico Guido Bocci, 105",055 412524,,https://www.zeustraslochi.it/,https://www.google.com/maps/search/?api=1&query=Zeus%20Traslochi&query_place_id=ChIJaxyiJIhWKhMROk-qCOfuoxU,Da chiamare,,,,,,,
FEXEL TRASLOCHI E TRASPORTI FIRENZE TOSCANA,Firenze,"Via Amedeo Avogadro, 21",375 552 2210,,http://www.fexel.it/,https://www.google.com/maps/search/?api=1&query=FEXEL%20TRASLOCHI%20e%20TRASPORTI%20Firenze%20Toscana&query_place_id=ChIJX_zrTPDbXQ8RLhf8f4W8FAI,Da chiamare,,,,,,,
LA TOSCANA TRASLOCHI,Firenze,Villa Corbinelli alla Sala,055 713 0060,,,https://www.google.com/maps/search/?api=1&query=La%20Toscana%20Traslochi&query_place_id=ChIJdW1bBmhXKhMRbE_ncqaNeHY,Da chiamare,,,,,,,
SESTINI TRASLOCHI - SST SRL -,Firenze,"Via Pisana, 59",055 229 9858,,http://www.sestinitraslochi.it/,https://www.google.com/maps/search/?api=1&query=Sestini%20Traslochi%20-%20SST%20SRL%20-&query_place_id=ChIJKZ4nEshQKhMRDNUW-ALybeY,Da chiamare,,,,,,,
G&F TRASLOCHI,Firenze,"Piazza Pietro Mascagni, 49",353 352 8961,,,https://www.google.com/maps/search/?api=1&query=G%26F%20Traslochi&query_place_id=ChIJyX4fFKBXKhMRSmP_oRw07LE,Da chiamare,,,,,,,
DANIELE SGOMBERI FIRENZE TRASLOCHI E SGOMBERI FIRENZE,Firenze,"Viale Luigi Gori, 16",373 307 0910,,https://www.danieletraslochiesgomberifirenze.com/,https://www.google.com/maps/search/?api=1&query=Daniele%20Sgomberi%20Firenze%20Traslochi%20e%20Sgomberi%20Firenze&query_place_id=ChIJNQjo3oVXKhMRvLRt0RxBiNQ,Da chiamare,,,,,,,
AB TOSCANA TRASLOCHI,Firenze,Via di Novoli,389 650 6615,,https://abtsctraslochi.mobirisesite.com/,https://www.google.com/maps/search/?api=1&query=AB%20TOSCANA%20TRASLOCHI&query_place_id=ChIJkcXKv3hXKhMR9qVyPDdQfUI,Da chiamare,,,,,,,
TRASLOCHI E TRASPORTI BOCCI FABRIZIO,Firenze,"Via Francesco Paolo Michetti, 3",=+39 055 011 2095,,,https://www.google.com/maps/search/?api=1&query=Traslochi%20e%20Trasporti%20Bocci%20Fabrizio&query_place_id=ChIJ1V9EvNdWKhMRW7yiJcgFHwc,Da chiamare,,,,,,,
COOPERATIVA TRASLOCHI PONTE ROSSO,Firenze,"Via Luigi Bertelli Vamba, 23",=+39 055 473015,,https://www.traslochiponterosso.com/,https://www.google.com/maps/search/?api=1&query=Cooperativa%20Traslochi%20Ponte%20Rosso&query_place_id=ChIJhQbnLYhUKhMRp0S8dFWNUDg,Da chiamare,,,,,,,
TRASLOCHI FIRENZE,Firenze,"Via Michele Amari, 4",=+39 02 9994 8957,,http://ditta-traslochi-firenze.it/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Firenze&query_place_id=ChIJhZiywvpVKhMReDu-hg_odHQ,Da chiamare,,,,,,,
PROFESSIONE TRASLOCHI,Firenze,Via Benedetto Dei,=+39 334 205 9819,,,https://www.google.com/maps/search/?api=1&query=Professione%20Traslochi&query_place_id=ChIJswThIplXKhMRRi3Uc8k7Mho,Da chiamare,,,,,,,
LA FORTEZZA TRASLOCHI,Firenze,"Corso Italia, 2",=+39 055 035 1325,,http://www.lafortezzatraslochi.com/,https://www.google.com/maps/search/?api=1&query=La%20Fortezza%20Traslochi&query_place_id=ChIJ7ff4_rFWKhMR9j-Jb5Nr_B0,Da chiamare,,,,,,,
TRASLOCHI AMATO,Firenze,"Via Annibal Caro, 1/R",=+39 055 700130,,https://www.traslochiamato.it/traslochi-firenze/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Amato&query_place_id=ChIJn3BVLMpWKhMRg_g-dMcrQXg,Da chiamare,,,,,,,
TRASLOCHI SCARICATORI FIORENTINI COOP. COOP. SCARICATORI FIORENTINI A.R.L.,Firenze,"Via Vasco de Gama, 137",=+39 055 882 5499,,https://www.traslochiscaricatorifiorentini.com/,https://www.google.com/maps/search/?api=1&query=Traslochi%20Scaricatori%20Fiorentini%20Coop.%20Coop.%20Scaricatori%20Fiorentini%20A.R.L.&query_place_id=ChIJe5KlPYxWKhMRDmV5aYMIoLg,Da chiamare,,,,,,,
RUSTIGNOLI TRASLOCHI ANTIQUARIATO,Firenze,"Via Matteo Palmieri, 18 r",=+39 375 135 3296,,,https://www.google.com/maps/search/?api=1&query=Rustignoli%20traslochi%20antiquariato&query_place_id=ChIJ5bCgATtVKhMRew2Hx4wBE4Y,Da chiamare,,,,,,,
TRASLOCHI FIRENZE GALARDI,Firenze,"Via Aretina, 348",=+39 338 798 7380,,https://business.google.com/u/1/create,https://www.google.com/maps/search/?api=1&query=Traslochi%20Firenze%20Galardi&query_place_id=ChIJdcSUTnpVKhMRacLE8wp2rnU,Da chiamare,,,,,,,
