nome_azienda,nome_decisore,ruolo_decisore,email,telefono,tipo_numero,citta,settore,website,fonte_numero
Ruggeri Grafiche Srl,,,,+39059824545,fisso,,,,"https://ruggerigrafiche.it (footer Contatti, T +39 059 824545)"
Mazzini Service Srl,,,,+393483614515,cellulare,,,,http://mazziniservice.it (footer: tel. 051/391784 - PRONTO INTERVENTO 348/3614515)
Omega Servizi Integrati Srl,,,,+393398298574,cellulare,,,,"https://www.omega-servizi.it (header/footer, anche fisso +39 0535 730193)"
Aerologistik Srl,,,,+390458265135,fisso,,,,https://aerologistik.it (header)
Numismatica Terziani Srl,,,,+39051264010,fisso,,,,https://nummus.it (header e footer)
Max Srl,,,,+393283035437,cellulare,,,,https://hotel-fiera.com
Reco Tech Srl,,,,+3905221750918,fisso,,,,https://www.recotechsrl.it/
Radio Bruno Soc Coop,,,,+39059698555,fisso,,,,"https://multiradiosrl.it (footer, etichetta Tel. 059 698555)"
Tecno System Srl,,,,+390532858883,fisso,,,,https://tecnosystemfe.it/it/contatti
Medil Srl,,,,+39051479285,fisso,,,,https://www.medilcostruzioni.it/
Tamarri Srl,,,,+390514380255,fisso,,,,https://www.tamarri.net/ (tamarri.it redirige qui; link tel: nel sito)
Gruppo Meca Srl,,,,+390522964155,fisso,,,,"https://gruppomeca.it (footer, linea 1)"
Bll Trasporti Srl,,,,+39022131881,fisso,,,,"https://blltrasporti.it/contatti/ (sede Milano; Bologna +390516651959, Reggio Emilia +390522232361)"
Allitaly Srl,,,,+393404953252,cellulare,,,,"https://www.klaasitalia.it (footer, Mobile +39 340 4953252; fisso ufficio +39 0522 863310)"
A.T.A.M. Spa Azienda Trasporti Automobilistici Municipali,,,,+390575984534,fisso,,,,"https://atamarezzo.it (footer/contatti, etichetta Telefono: 0575/984534)"
Fiabilandia Srl,,,,+390541372064,fisso,,,,"https://www.fiabilandia.it/contatti/ (etichetta Telefono: +39 0541.372064, anche in header homepage)"
Rm Servizi Soc Coop,,,,+393514555695,cellulare,,,,"https://bertinoromusica.it (footer, cell e whatsapp)"
Dell'Erba Srl,,,,+39059548432,fisso,,,,https://dellerba.com (header Telefono / footer Servizio clienti)
Panconi Catering Srl,,,,+393493865064,cellulare,,,,https://panconicatering.it
Dalpasso Srl,,,,+390522453999,fisso,,,,https://dalpasso.it
Coop Sociale Abbracci Soc Coop Onlus,,,,+393460834887,cellulare,,,,https://coopabbracci.it/contatti
Azienda Servizi Turistici Integrati Srl,,,,+39050598888,fisso,,,,https://astisrl.com/contatti/
Falco Servizi Srl,,,,+393283126397,cellulare,,,,"https://falcoservizi.net (header, link WhatsApp; fisso alternativo +390541616036)"
M.A.M. Eredi Malaguti Cav. Aurelio Di Malaguti Vanni & C. Sr,,,,+39059330219,fisso,,,,"https://mamforni.it (footer, link tel:)"
Tera Seeds Srl Consortile,,,,+390514683162,fisso,,,,https://janus.it
Istituto Medical Srl,,,,+3905651975620,fisso,,,,https://medicalgroup-diagnostica.it
Faber Infissi Srl,,,,+393315646286,cellulare,,,,https://faberinfissi.it
Accademia Acrobatica Srl,,,,+393802982176,cellulare,,,,https://www.villaggioaccademia.it
