nome_azienda,nome_decisore,ruolo_decisore,email,telefono,tipo_numero,citta,settore,website,angolo_pitch
Ermini Adone Srl,,titolare,,+390558662057,fisso,,Filippo - ESG,erminiadone.com,
Faroldi Srl,,titolare,,+393355215065,cellulare,,Filippo - ESG,faroldi.it,
Essential Srl,,titolare,,+393396550436,cellulare,,Filippo - ESG,essential-flavours.it,
Bartoli & C. Srl,,titolare,,+390522693613,fisso,,Filippo - ESG,bighet.it,
New Day Srl Semplificata,,titolare,,+393397000878,cellulare,,Filippo - ESG,hotelcaesar.net,
Dusy Group Srl,,titolare,,+390583929490,fisso,,Filippo - ESG,dusy.it,
Errecars Srl,,titolare,,+393317522241,cellulare,,Filippo - ESG,erre-cars.it,
F.I.P. Forniture Industriali Parmensi Srl,,titolare,,+390354192777,fisso,,Filippo - ESG,pneumaxspa.com,
Selene Srl,,titolare,,+39055211062,fisso,,Filippo - ESG,globusurbanhotel.com,
Sicas Srl,,titolare,,+390257514340,fisso,,Filippo - ESG,sicas.net,
Sintesi Srl,,titolare,,+390558430571,fisso,,Filippo - ESG,sintesicom.it,
Siri Srl,,titolare,,+390558878398,fisso,,Filippo - ESG,siritreni.com,
Smartcae Srl,,titolare,,+390559751000,fisso,,Filippo - ESG,smartcae.com,
Societa' Agricola Querciabella Spa,,titolare,,+3905585927777,fisso,,Filippo - ESG,querciabella.com,
Tdm Srl Technologies Distribution & Management Sb,,titolare,,+3903621794873,fisso,,Filippo - ESG,tdm-srl.it,
Societa' Agricola Salvadonica Di Beatrice E Francesca Baccet,,titolare,,+393929859061,cellulare,,Filippo - ESG,salvadonica.com,
Societa Cooperativa Autocustodi Fiorentini S.C.A.F. Soc Coop,,titolare,,+39055363362,fisso,,Filippo - ESG,scaf.fi.it,
Societa' Italiana Costruzioni Strade Srl,,titolare,,+390558498115,fisso,,Filippo - ESG,silexmugello.it,
Stone Italia Srl,,titolare,,+39055755657,fisso,,Filippo - ESG,stoneinternational.it,
Studio Pivieri - Societa' A Responsabilita' Limitata,,titolare,,+390556275853,fisso,,Filippo - ESG,studiopivieri.it,
T.T.T. Srl,,titolare,,+390558071036,fisso,,Filippo - ESG,tttsrl.it,
Tecma Srl,,titolare,,+39055444241,fisso,,Filippo - ESG,tecma.biz,
Teknoenergy Srl,,titolare,,+3905711656861,fisso,,Filippo - ESG,teknoenergy.it,
Torrefazione Mokaflor Srl,,titolare,,+390557321718,fisso,,Filippo - ESG,mokaflor.it,
Toscoavicola Srl,,titolare,,+390558969151,fisso,,Filippo - ESG,toscoavicola.it,
Trattoria 4 Leoni Srl,,titolare,,+39055218562,fisso,,Filippo - ESG,4leoni.com,
Tvm Group Srl,,titolare,,+390558311360,fisso,,Filippo - ESG,tvmgroupsrl.it,
Unione Dei Comuni Circondario Dell'Empolese Valdelsa,,titolare,,+390571757201,fisso,,Filippo - ESG,empolese-valdelsa.it,
Vibert Italia Srl,,titolare,,+390571541658,fisso,,Filippo - ESG,vibertitalia.it,
White River Srl,,titolare,,+3905519982670,fisso,,Filippo - ESG,whiteriver.it,
Pennellificio Europe Galli Franco & Figli Srl,,titolare,,+390375791126,fisso,,Filippo - ESG,pennellificioeurope.it,
Yobel Srl,,titolare,,+390559154148,fisso,,Filippo - ESG,pelletteriayobel.it,
Pratomagno Prosciutti Srl Di Grati,,titolare,,+39055977962,fisso,,Filippo - ESG,pratomagnoprosciutti.it,
Consorzio Di Solidarieta' Sociale Di Modena Societa' Coopera,,titolare,,+39059345942,fisso,,Filippo - ESG,cssmo.it,
B.M. Di Cancellieri Massimo Bruno & C. Srl,,titolare,,+390541777107,fisso,,Filippo - ESG,bmcancellieri.it,
Negrini Srl,,titolare,,+39059923110,fisso,,Filippo - ESG,negrini.org,
Igma Spa,,titolare,,+390536980081,fisso,,Filippo - ESG,igmaspa.it,
Damco Srl,,titolare,,+390522652921,fisso,,Filippo - ESG,damco-srl.com,
Vezzani Forni Srl,,titolare,,+390522946036,fisso,,Filippo - ESG,vezzaniforni.it,
Tecnoquadri Srl,,titolare,,+390575511636,fisso,,Filippo - ESG,tecnoquadri-srl.it,
Eurofusioni Nironi Srl,,titolare,,+390522934095,fisso,,Filippo - ESG,eurofusioni.it,
Bergami Spa,,titolare,,+390542670012,fisso,,Filippo - ESG,bergami-spa.it,
Technoform Srl,,titolare,,+390522875748,fisso,,Filippo - ESG,technoformsrl.it,
Media Design Srl,,titolare,,+390522621160,fisso,,Filippo - ESG,mediadesignstudio.it,
Bertuccia Srl Sb,,titolare,,+393931122233,cellulare,,Filippo - ESG,ecovillaggiomontale.it,
Strambi Srl,,titolare,,+390577979471,fisso,,Filippo - ESG,strambisrl.it,
Automa By Magic Srl,,titolare,,+390542067335,fisso,,Filippo - ESG,automabymagic.it,
Remark Srl,,titolare,,+390592914811,fisso,,Filippo - ESG,remarksrl.it,
Calor Press Snc Di Grassi Giampaolo E Meteori Marina,,titolare,,+39051754888,fisso,,Filippo - ESG,calorpress.it,
Italeri Spa,,titolare,,+390513175211,fisso,,Filippo - ESG,italeri.com,
Messori Srl,,titolare,,+390522730053,fisso,,Filippo - ESG,messorisrl.it,
Graziosi Containers Srl,,titolare,,+39059760400,fisso,,Filippo - ESG,graziosicontainers.com,
Migliaccio Srl,,titolare,,+390298282130,fisso,,Filippo - ESG,gruppomigliaccio.com,
Pm Ristrutturazioni Srl,,titolare,,+393274229967,cellulare,,Filippo - ESG,pmristrutturazioni.it,
I.T.C. 2000 Srl,,titolare,,+393383990498,cellulare,,Filippo - ESG,itc2000.it,
System Engineering & Information Technology Srl,,titolare,,+390522273850,fisso,,Filippo - ESG,seit.it,
Sicel Srl,,titolare,,+390536843689,fisso,,Filippo - ESG,sicel-srl.it,
Bastelli Hts Srl,,titolare,,+390516012628,fisso,,Filippo - ESG,bastellihts.it,
Morani Srl,,titolare,,+390522600709,fisso,,Filippo - ESG,morani.it,
G.M.C. Srl,,titolare,,+390536921168,fisso,,Filippo - ESG,gmclev.it,
La Bottega Del Pesce Di Benetti Massimo & C. Sas,,titolare,,+390522648022,fisso,,Filippo - ESG,labottegadelpesce.it,
Centro Diagnostico Apuano Srl,,titolare,,+390585785967,fisso,,Filippo - ESG,centrodiagnosticoapuano.net,
Cablo-Motive Srl,,titolare,,+390559146027,fisso,,Filippo - ESG,cablo-motive.com,
Lcm Srl,,titolare,,+390577989234,fisso,,Filippo - ESG,lcmlamiere.it,
"Ricci Franco & Figli Snc Di Ricci Lorenzo, Roberto E Riccard",,titolare,,+390575592555,fisso,,Filippo - ESG,riccifrutta.com,
Cattini Srl,,titolare,,+390522695220,fisso,,Filippo - ESG,cattini.it,
Moratti Catellani Srl,,titolare,,+390522941011,fisso,,Filippo - ESG,moratticatellani.it,
La Fonderia C.L.M. Srl,,titolare,,+390577988104,fisso,,Filippo - ESG,clmsrl.it,
