nome_azienda,nome_decisore,ruolo_decisore,email,telefono,tipo_numero,citta,settore,website,angolo_pitch
Elfer Srl,,titolare,,+390522908733,fisso,,Filippo - ESG,elfer.it,
Istituto Medical Srl,,titolare,,+3905651975620,fisso,,Filippo - ESG,medicalgroup-diagnostica.it,
Litografia Castello Srl,,titolare,,+390521844054,fisso,,Filippo - ESG,litografiacastello.it,
Vip Srl,,titolare,,+390541600100,fisso,,Filippo - ESG,shuttleitalyairport.it,
Naregno Srl,,titolare,,+390565966111,fisso,,Filippo - ESG,acacie.it,
F.P.E. Fusco Packing Engineering Srl,,titolare,,+390543466311,fisso,,Filippo - ESG,fpeitalia.com,
Fusi Modesto Di Guidotti Franceschina E C. Snc,,titolare,,+390577373066,fisso,,Filippo - ESG,fusimodesto.it,
Nuova Mondial Mec Srl,,titolare,,+390541759688,fisso,,Filippo - ESG,nuovamondialmec.com,
Mvm Consulting Srl Semplificata,,titolare,,+390558635777,fisso,,Filippo - ESG,mvmconsulting.net,
Faber Infissi Srl,,titolare,,+393315646286,cellulare,,Filippo - ESG,faberinfissi.it,
Accademia Acrobatica Srl,,titolare,,+393802982176,cellulare,,Filippo - ESG,villaggioaccademia.it,
B.T.V. Truck Srl,,titolare,,+393387192362,cellulare,,Filippo - ESG,btvtruck.org,
Tuttosicurezza Srl,,titolare,,+390575561937,fisso,,Filippo - ESG,tuttosicurezza.com,
Pantani E Conti Srl,,titolare,,+390587609249,fisso,,Filippo - ESG,pantanieconti.com,
Kedos Srl,,titolare,,+390236741057,fisso,,Filippo - ESG,kedos-srl.it,
Toscano Forme Srl,,titolare,,+39050701719,fisso,,Filippo - ESG,toscanoforme.com,
S.T.I.M.A. Srl,,titolare,,+390574718898,fisso,,Filippo - ESG,stimasrl.com,
Adriajet Srl,,titolare,,+390547680180,fisso,,Filippo - ESG,adriajet.it,
Nuova Butos Ho.Re.Ca. Soc Coop,,titolare,,+390543746411,fisso,,Filippo - ESG,butos.it,
Marella Srl,,titolare,,+390521697336,fisso,,Filippo - ESG,marellagroup.it,
Igm Srl,,titolare,,+390294752794,fisso,,Filippo - ESG,waterjetworld.com,
Officina Meccanica Fabbricese Srl,,titolare,,+390522660421,fisso,,Filippo - ESG,fabbricese.it,
Termika Srl,,titolare,,+390541950487,fisso,,Filippo - ESG,termikasrl.it,
Landi Srl,,titolare,,+390558969246,fisso,,Filippo - ESG,galvanicalandi.com,
Scaviter Srl,,titolare,,+390571297387,fisso,,Filippo - ESG,scaviter.it,
Sismic Sistemi Srl,,titolare,,+39055333686,fisso,,Filippo - ESG,sismic.it,
Soc Coop Sociale Geos Onlus,,titolare,,+390571993654,fisso,,Filippo - ESG,coopgeos.it,
Soffici Sergio Srl,,titolare,,+39055374629,fisso,,Filippo - ESG,sofficisergio.com,
Stadium Srl,,titolare,,+39055720150,fisso,,Filippo - ESG,stadiumflorence.it,
Tec.Service Srl,,titolare,,+390558259423,fisso,,Filippo - ESG,tec-service.it,
Techno System Srl In Forma Abbre Viata Techno System Srl,,titolare,,+390571667229,fisso,,Filippo - ESG,techno-system.it,
Tecnolibri Distribuzione Srl,,titolare,,+390558826698,fisso,,Filippo - ESG,tecnolibri.it,
Tirrena Srl,,titolare,,+3905711732950,fisso,,Filippo - ESG,tirrena.net,
Truck Point Srl,,titolare,,+390550467902,fisso,,Filippo - ESG,truckpointsrl.it,
Valfim Srl,,titolare,,+390584787131,fisso,,Filippo - ESG,stmauritiushotel.com,
Valiani Srl,,titolare,,+390571666598,fisso,,Filippo - ESG,valiani.com,
Viriplast Srl,,titolare,,+390558873339,fisso,,Filippo - ESG,viriplast.com,
Witapp Srl,,titolare,,+390550197553,fisso,,Filippo - ESG,witapp.it,
Www Tuscanfarm.Com Srl,,titolare,,+393338503846,cellulare,,Filippo - ESG,tuscanfarm.com,
Audiocostruzioni Srl,,titolare,,+39059685054,fisso,,Filippo - ESG,audiocostruzioni.com,
Athena Srl,,titolare,,+390577286313,fisso,,Filippo - ESG,athenatubi.it,
Voltoncino Srl,,titolare,,+390564871588,fisso,,Filippo - ESG,campingvillageoasi.it,
Agenzia Viaggi Nuova Era Srl,,titolare,,+39051467880,fisso,,Filippo - ESG,viagginuovaera.it,
Jendy Joss Building Srl,,titolare,,+39051803956,fisso,,Filippo - ESG,jendyjoss.com,
Metalaser Srl,,titolare,,+39059557033,fisso,,Filippo - ESG,metalaser.it,
Valdichiana Carni Srl Di Bigi M. & C.,,titolare,,+390577679101,fisso,,Filippo - ESG,valdichianacarni.com,
T.L.L. Srl,,titolare,,+390575383438,fisso,,Filippo - ESG,tllsrl.it,
Sofin Srl,,titolare,,+393486487219,cellulare,,Filippo - ESG,carcover.it,
Medi Nova Sas Di Melli Paola E C.,,titolare,,+390522920161,fisso,,Filippo - ESG,medi-nova.it,
Caroceli Preziosi Srl,,titolare,,+39059223536,fisso,,Filippo - ESG,carocelipreziosi.it,
Martelli Marmi Srl,,titolare,,+39051711765,fisso,,Filippo - ESG,martellimarmi.it,
Idrocorp Sas Di Idh Srl,,titolare,,+39059692819,fisso,,Filippo - ESG,idrogrow.com,
Elfi Systems Srl,,titolare,,+390522448411,fisso,,Filippo - ESG,elfisystems.it,
Masini Costruzioni Srl,,titolare,,+390577978059,fisso,,Filippo - ESG,masinicostruzionisrl.it,
Aper Srl,,titolare,,+39051832852,fisso,,Filippo - ESG,apersrl.com,
Athena Srl,,titolare,,+390583359343,fisso,,Filippo - ESG,athenatubi.it,
P.M. Semilavorati Srl,,titolare,,+390584777273,fisso,,Filippo - ESG,pmsemilavorati.it,
Norcineria Toscana Srl,,titolare,,+390575844419,fisso,,Filippo - ESG,norcineriatoscana.it,
Finturist Spa,,titolare,,+39059851505,fisso,,Filippo - ESG,modenadistrict.it,
Artecology Srl,,titolare,,+390575810297,fisso,,Filippo - ESG,artecology.it,
Rcg Treccificio Srl,,titolare,,+390587707090,fisso,,Filippo - ESG,treccificiorcg.it,
F.Lli Amaducci Srl,,titolare,,+390543448683,fisso,,Filippo - ESG,amaduccinet.it,
Emil Laminati Reggio Srl,,titolare,,+390522915126,fisso,,Filippo - ESG,emil-laminati.it,
Art Alluminio Srl,,titolare,,+390543796573,fisso,,Filippo - ESG,artalluminio.com,
Antolini Arredamenti Srl,,titolare,,+390541621404,fisso,,Filippo - ESG,antoliniarredamenti.it,
Oleificio F.Lli Capini Srl,,titolare,,+390583979021,fisso,,Filippo - ESG,oleificiocapini.it,
Home Immobili Srl,,titolare,,+390593971701,fisso,,Filippo - ESG,homeimmobili.it,
Guareschi Claudio & C. Srl,,titolare,,+390521774149,fisso,,Filippo - ESG,guareschimoto.it,
Plasfor Srl,,titolare,,+390543782650,fisso,,Filippo - ESG,plasfor.it,
Tlf Srl,,titolare,,+390575531400,fisso,,Filippo - ESG,tlf.it,
Milosped Srl,,titolare,,+390521291399,fisso,,Filippo - ESG,milosped.it,
A.C.M. Srl,,titolare,,+390522661284,fisso,,Filippo - ESG,acmitaly.it,
C.M. Gronde Srl,,titolare,,+39059819190,fisso,,Filippo - ESG,cmgronde.it,
Neptune Srl,,titolare,,+390544451780,fisso,,Filippo - ESG,neptune.it,
Ensi Srl,,titolare,,+393245491203,cellulare,,Filippo - ESG,gianno.it,
Premiato Stabilimento Tipografico Dei Comuni Soc Coop,,titolare,,+390543973016,fisso,,Filippo - ESG,stctipografico.it,
Great Estate Immobiliare Srl,,titolare,,+393511667107,cellulare,,Filippo - ESG,greatestate.it,
Brunetti Costruzioni Srl,,titolare,,+390574592078,fisso,,Filippo - ESG,brunetticostruzioni.it,
M.D.A. Service Srl,,titolare,,+39059921311,fisso,,Filippo - ESG,mdaservice.it,
Lanificio Cipriani Srl,,titolare,,+390558705345,fisso,,Filippo - ESG,lanificiocipriani.it,
Croce Verde Novafeltria Soc Coop Sociale,,titolare,,+390541922121,fisso,,Filippo - ESG,croceverdenovafeltria.it,
Mekoil Oleodinamica Srl,,titolare,,+390597114588,fisso,,Filippo - ESG,mekoil.it,
Suolificio Maya Srl,,titolare,,+390587707185,fisso,,Filippo - ESG,suolificio.com,
Autofficina Touring Di Quaranta Stefano E C.-Snc,,titolare,,+390572766400,fisso,,Filippo - ESG,touringsnc.it,
Italian Taste Lodovichi Srl,,titolare,,+390575849099,fisso,,Filippo - ESG,italiantastelodovichi.it,
Centro Mac Srl,,titolare,,+390574623111,fisso,,Filippo - ESG,centromac.it,
Balmont Srl,,titolare,,+390577938257,fisso,,Filippo - ESG,balmont.it,
Prosciuttificio Borgo Antico Srl,,titolare,,+39059534711,fisso,,Filippo - ESG,alcaruno.it,
Key Sport Engineering Srl,,titolare,,+390541675653,fisso,,Filippo - ESG,keysport.it,
Manghi Bruno Srl,,titolare,,+390521980883,fisso,,Filippo - ESG,manghibruno.it,
Ermini Adone Srl,,titolare,,+390558662057,fisso,,Filippo - ESG,erminiadone.com,
Faroldi Srl,,titolare,,+393355215065,cellulare,,Filippo - ESG,faroldi.it,
Essential Srl,,titolare,,+393396550436,cellulare,,Filippo - ESG,essential-flavours.it,
Bartoli & C. Srl,,titolare,,+390522693613,fisso,,Filippo - ESG,bighet.it,
New Day Srl Semplificata,,titolare,,+393397000878,cellulare,,Filippo - ESG,hotelcaesar.net,
Dusy Group Srl,,titolare,,+390583929490,fisso,,Filippo - ESG,dusy.it,
